Date,Average Cost,
2011.04.12,51.37,
2011.04.13,55.63,
2011.04.14,60.85,
2011.04.15,57.01,
2011.04.16,53.59,
2011.04.17,48.48,
2011.04.18,60.48,
2011.04.19,58.08,
2011.04.20,56.45,
2011.04.21,57.16,
2011.04.22,49.36,
2011.04.23,52.68,
2011.04.24,37.94,
2011.04.25,30.69,
2011.04.26,51.89,
2011.04.27,57.34,
2011.04.28,56.32,
2011.04.29,52.49,
2011.04.30,43.47,
2011.05.01,36.81,
2011.05.02,53.03,
2011.05.03,60.11,
2011.05.04,61.33,
2011.05.05,61.36,
2011.05.06,59.42,
2011.05.07,53.53,
2011.05.08,37.45,
2011.05.09,50.14,
2011.05.10,61.96,
2011.05.11,64.72,
2011.05.12,66.45,
2011.05.13,61.28,
2011.05.14,57.20,
2011.05.15,44.89,
2011.05.16,57.75,
2011.05.17,56.16,
2011.05.18,64.18,
2011.05.19,63.80,
2011.05.20,62.72,
2011.05.21,57.56,
2011.05.22,47.63,
2011.05.23,57.41,
2011.05.24,60.81,
2011.05.25,60.91,
2011.05.26,58.13,
2011.05.27,56.06,
2011.05.28,51.64,
2011.05.29,45.41,
2011.05.30,59.08,
2011.05.31,59.22,
2011.06.01,58.28,
2011.06.02,48.73,
2011.06.03,54.28,
2011.06.04,53.55,
2011.06.05,46.98,
2011.06.06,60.72,
2011.06.07,61.34,
2011.06.08,59.95,
2011.06.09,57.14,
2011.06.10,58.15,
2011.06.11,51.29,
2011.06.12,45.00,
2011.06.13,50.43,
2011.06.14,57.52,
2011.06.15,62.02,
2011.06.16,59.42,
2011.06.17,55.38,
2011.06.18,50.64,
2011.06.19,35.29,
2011.06.20,46.73,
2011.06.21,56.84,
2011.06.22,56.92,
2011.06.23,48.32,
2011.06.24,48.62,
2011.06.25,49.94,
2011.06.26,40.99,
2011.06.27,52.44,
2011.06.28,53.87,
2011.06.29,52.56,
2011.06.30,49.46,
2011.07.01,50.29,
2011.07.02,84.61,
2011.07.03,25.06,
2011.07.04,57.78,
2011.07.05,53.86,
2011.07.06,60.56,
2011.07.07,64.99,
2011.07.08,61.08,
2011.07.09,48.63,
2011.07.10,52.65,
2011.07.11,77.36,
2011.07.12,73.61,
2011.07.13,53.73,
2011.07.14,67.69,
2011.07.15,51.64,
2011.07.16,57.43,
2011.07.17,64.24,
2011.07.18,65.06,
2011.07.19,56.35,
2011.07.20,54.81,
2011.07.21,53.19,
2011.07.22,46.33,
2011.07.23,60.92,
2011.07.24,25.06,
2011.07.25,48.07,
2011.07.26,49.18,
2011.07.27,49.37,
2011.07.28,48.31,
2011.07.29,46.01,
2011.07.30,38.94,
2011.07.31,31.85,
2011.08.01,78.85,
2011.08.02,51.23,
2011.08.03,49.34,
2011.08.04,48.67,
2011.08.05,48.74,
2011.08.06,85.16,
2011.08.07,58.29,
2011.08.08,53.87,
2011.08.09,41.38,
2011.08.10,42.86,
2011.08.11,44.42,
2011.08.12,46.88,
2011.08.13,47.24,
2011.08.14,36.88,
2011.08.15,43.99,
2011.08.16,51.14,
2011.08.17,55.14,
2011.08.18,52.87,
2011.08.19,50.12,
2011.08.20,48.12,
2011.08.21,49.48,
2011.08.22,60.28,
2011.08.23,60.23,
2011.08.24,67.38,
2011.08.25,62.91,
2011.08.26,84.47,
2011.08.27,60.75,
2011.08.28,37.71,
2011.08.29,68.22,
2011.08.30,56.31,
2011.08.31,59.25,
2011.09.01,63.95,
2011.09.02,59.42,
2011.09.03,51.98,
2011.09.04,46.31,
2011.09.05,58.55,
