Date,Average Cost
2018-10-18,25.1
2018-10-19,25.1
2018-10-20,25.1
2018-10-21,25.1
2018-10-22,25.1
2018-10-23,25.1
2018-10-24,25.1
2018-10-25,25.1
2018-10-26,25.1
2018-10-27,25.1
2018-10-28,25.1
2018-10-29,25.1
2018-10-30,25.1
2018-10-31,25.1
2018-11-01,25.1
2018-11-02,25.1
2018-11-03,25.1
2018-11-04,25.1
2018-11-05,25.1
2018-11-06,25.1
2018-11-07,25.1
2018-11-08,25.1
2018-11-09,25.1
2018-11-10,25.1
2018-11-11,25.1
2018-11-12,25.1
2018-11-13,25.1
2018-11-14,25.1
2018-11-15,25.1
2018-11-16,25.1
2018-11-17,25.1
2018-11-18,25.1
2018-11-19,25.1
2018-11-20,25.1
2018-11-21,25.1
2018-11-22,25.1
2018-11-23,25.1
2018-11-24,25.1
2018-11-25,25.1
2018-11-26,25.1
2018-11-27,25.1
2018-11-28,25.1
2018-11-29,25.1
2018-11-30,25.1
2018-12-01,25.1
2018-12-02,25.1
2018-12-03,25.1
2018-12-04,25.1
2018-12-05,25.1
2018-12-06,25.1
2018-12-07,25.1
2018-12-08,25.1
2018-12-09,25.1
2018-12-10,25.1
2018-12-11,25.1
2018-12-12,25.1
2018-12-13,25.1
2018-12-14,25.1
2018-12-15,25.1
2018-12-16,25.1
2018-12-17,26.8
2018-12-18,26.3
2018-12-19,25.7
2018-12-20,25.7
2018-12-21,25.6
2018-12-22,26.1
2018-12-23,25.8
2018-12-24,26.6
2018-12-25,25.9
2018-12-26,25.2
2018-12-27,24.7
2018-12-28,24.5
2018-12-29,24.1
2018-12-30,24.3
2018-12-31,23.0
